Strike,Last Price,Implied Volatility
190,199.92,0.3972
200,194,0.3811
230,161.09,0.3466
240,153.13,0.3376
255,135.58,0.3245
260,127.9,0.3207
270,125.8,0.3131
285,114.5,0.3018
290,108.38,0.2981
300,99.6,0.2904
305,92.57,0.2865
310,91.62,0.2827
315,85.62,0.2787
320,83.79,0.2748
325,72.54,0.2708
335,68.4,0.2626
345,63.25,0.2541
350,61.95,0.2497
355,54.76,0.2453
360,53.07,0.2409
365,49.5,0.2363
370,46.02,0.2317
375,42.73,0.227
380,40,0.2223
385,36.62,0.2176
390,33.37,0.2129
400,28.06,0.203
410,22.76,0.195
420,17.9,0.1872
425,15.59,0.1838
430,14.18,0.1805
435,12.1,0.1777
440,11.34,0.1752
445,9.2,0.173
450,8.25,0.1711
455,7.3,0.1695
460,6.3,0.1683
465,5.66,0.1672
470,4.8,0.1665
475,3.99,0.1659
480,3.67,0.1655
485,3.05,0.1653
490,2.75,0.1651
495,2.4,0.1652
500,2,0.1654
505,1.91,0.1638
510,1.6,0.1647
515,1.45,0.165
520,1.31,0.1657
530,1.08,0.1672
535,0.8,0.1682
540,0.78,0.1691
545,0.69,0.1703
550,0.57,0.1713
